volcano,buffer,pop_count
Cereme,10,110867.00039999204
Cereme,30,3144086.142298274
Cereme,100,24018970.62151536
Dieng_Volcanic_Complex,10,263578.5683999981
Dieng_Volcanic_Complex,30,1499961.6368997598
Dieng_Volcanic_Complex,100,20552046.294591032
Galunggung,10,82103.76269999657
Galunggung,30,2313044.6912995097
Galunggung,100,23112087.809399176
Gede-Pangrango,10,139490.26200000034
Gede-Pangrango,30,2179184.4720003665
Gede-Pangrango,100,40664224.39780265
Guntur,10,434627.4185999887
Guntur,30,3267267.1109974342
Guntur,100,24254861.065212887
Kelut,10,83647.98719999712
Kelut,30,2241758.875499309
Kelut,100,21178490.898738474
Lokon-Empung,10,235439.6058000036
Lokon-Empung,30,941791.7384998841
Lokon-Empung,100,1510152.3845996533
Mayon,10,174472.29899998882
Mayon,30,1027399.115700092
Mayon,100,3530307.572099848
Merapi,10,210150.8063999966
Merapi,30,3828281.8509007334
Merapi,100,20623484.03392143
Taal,10,54872.283599999624
Taal,30,2747380.5746999844
Taal,100,25221307.899599962
Papandayan,10,148251.95909999663
Papandayan,30,1565694.2708999878
Papandayan,100,19465213.78529692
Agung,10,59183.945999999145
Agung,30,925410.7521000047
Agung,100,4818585.356103801
Bulusan,10,62164.405799998414
Bulusan,30,449837.7119999746
Bulusan,100,2805962.933697902
Gamalama,10,209465.44110000407
Gamalama,30,253209.87989998932
Gamalama,100,486064.16010000906
Lamongan,10,46936.92420000032
Lamongan,30,1774501.8948010074
Lamongan,100,12740608.470612306
Pinatubo,10,0.0
Pinatubo,30,867987.5030999717
Pinatubo,100,20013901.904710777
Ranakah,10,47835.95130000216
Ranakah,30,200857.838400041
Ranakah,100,689482.9673996916
Rinjani,10,13442.86530000011
Rinjani,30,917051.7546001805
Rinjani,100,3218919.5069980584
Semeru,10,7203.3947999999555
Semeru,30,704224.5866997687
Semeru,100,16540913.36701482
Sinabung,10,56244.28589999849
Sinabung,30,174653.8119000147
Sinabung,100,6549399.471598009
Soputan,10,68490.6597
Soputan,30,573127.2935999944
Soputan,100,1552683.1841996135
Tengger_Caldera,10,29118.398399999864
Tengger_Caldera,30,1126946.0744999775
Tengger_Caldera,100,19028274.46478945
Camiguin,10,44113.65300000106
Camiguin,30,83607.6572999969
Camiguin,100,2047762.2635996363
Iya,10,110105.68949999956
Iya,30,137583.03600000558
Iya,100,660174.6401999323
Parker,10,2353.07429999999
Parker,30,436202.4797999968
Parker,100,3104296.901098072
Raung,10,399.60540000000145
Raung,30,543213.2079000445
Raung,100,6676441.629303387
Tangkoko-Duasudara,10,31516.913699999983
Tangkoko-Duasudara,30,82788.94979999872
Tangkoko-Duasudara,100,1254331.0970998055
Awu,10,18585.069300000017
Awu,30,48765.72599999946
Awu,100,61782.239699998296
Banda_Api,10,4901.552999999906
Banda_Api,30,5528.5739999998705
Banda_Api,100,5528.5739999998705
Dukono,10,2579.6069999999877
Dukono,30,117505.82519999782
Dukono,100,433838.93220001477
Gamkonora,10,15407.925299999817
Gamkonora,30,66668.30549999443
Gamkonora,100,607738.698900056
Iliwerung,10,2547.620099999968
Iliwerung,30,44155.1087999996
Iliwerung,100,287492.44139996904
Karangetang,10,14606.227799999902
Karangetang,30,21581.72909999979
Karangetang,100,75480.56279999971
Krakatau,10,5143.338000000053
Krakatau,30,5593.374000000079
Krakatau,100,6171214.0761024095
Leroboleng,10,6064.59960000012
Leroboleng,30,97265.61809999747
Leroboleng,100,486844.1657999131
Lewotobi,10,13629.011399999847
Lewotobi,30,89896.04370000659
Lewotobi,100,500669.35919990996
Lewotolo,10,12506.885999999447
Lewotolo,30,84853.72079999582
Lewotolo,100,288017.96939998143
Paluweh,10,15057.754199999943
Paluweh,30,20597.733000000055
Paluweh,100,654470.9603999268
Suoh,10,121.1760000000002
Suoh,30,11502.526499999954
Suoh,100,1296936.0602979902
Tambora,10,858.2678999999987
Tambora,30,44696.14019999513
Tambora,100,796281.2000997622
