,damageState,nBuildings,loss,volcano,VEI,prob,type,month
0,0.0,2662246.0,,Cereme,3,10,weak,0
1,1.0,52.0,115574.07856249322,Cereme,3,10,weak,0
2,2.0,5.0,15804.712497099343,Cereme,3,10,weak,0
3,3.0,12.0,138000.18865398064,Cereme,3,10,weak,0
4,4.0,0.0,0.0,Cereme,3,10,weak,0
5,5.0,0.0,0.0,Cereme,3,10,weak,0
6,0.0,2662303.0,,Cereme,3,10,strong,0
7,1.0,12.0,78706.17947312004,Cereme,3,10,strong,0
8,2.0,0.0,0.0,Cereme,3,10,strong,0
9,3.0,0.0,0.0,Cereme,3,10,strong,0
10,4.0,0.0,0.0,Cereme,3,10,strong,0
11,5.0,0.0,0.0,Cereme,3,10,strong,0
12,0.0,2662266.0,,Cereme,3,50,weak,0
13,1.0,37.0,45045.29060902789,Cereme,3,50,weak,0
14,2.0,0.0,0.0,Cereme,3,50,weak,0
15,3.0,12.0,121655.33169928314,Cereme,3,50,weak,0
16,4.0,0.0,0.0,Cereme,3,50,weak,0
17,5.0,0.0,0.0,Cereme,3,50,weak,0
18,0.0,2662303.0,,Cereme,3,50,strong,0
19,1.0,12.0,53036.64368999186,Cereme,3,50,strong,0
20,2.0,0.0,0.0,Cereme,3,50,strong,0
21,3.0,0.0,0.0,Cereme,3,50,strong,0
22,4.0,0.0,0.0,Cereme,3,50,strong,0
23,5.0,0.0,0.0,Cereme,3,50,strong,0
24,0.0,2662303.0,,Cereme,3,90,weak,0
25,1.0,0.0,0.0,Cereme,3,90,weak,0
26,2.0,12.0,52685.62936714399,Cereme,3,90,weak,0
27,3.0,0.0,0.0,Cereme,3,90,weak,0
28,4.0,0.0,0.0,Cereme,3,90,weak,0
29,5.0,0.0,0.0,Cereme,3,90,weak,0
30,0.0,2662315.0,,Cereme,3,90,strong,0
31,1.0,0.0,0.0,Cereme,3,90,strong,0
32,2.0,0.0,0.0,Cereme,3,90,strong,0
33,3.0,0.0,0.0,Cereme,3,90,strong,0
34,4.0,0.0,0.0,Cereme,3,90,strong,0
35,5.0,0.0,0.0,Cereme,3,90,strong,0
36,0.0,2651252.0,,Cereme,4,10,weak,0
37,1.0,7002.0,11437589.763946833,Cereme,4,10,weak,0
38,2.0,2495.0,11950911.036793396,Cereme,4,10,weak,0
39,3.0,1078.0,12694793.602834573,Cereme,4,10,weak,0
40,4.0,488.0,7032242.402586208,Cereme,4,10,weak,0
41,5.0,0.0,0.0,Cereme,4,10,weak,0
42,0.0,2660517.0,,Cereme,4,10,strong,0
43,1.0,840.0,3863301.428516069,Cereme,4,10,strong,0
44,2.0,892.0,12203205.604014987,Cereme,4,10,strong,0
45,3.0,66.0,1625316.362443981,Cereme,4,10,strong,0
46,4.0,0.0,0.0,Cereme,4,10,strong,0
47,5.0,0.0,0.0,Cereme,4,10,strong,0
48,0.0,2660164.0,,Cereme,4,50,weak,0
49,1.0,668.0,1053427.1433716926,Cereme,4,50,weak,0
50,2.0,663.0,3556068.8973837243,Cereme,4,50,weak,0
51,3.0,753.0,8936558.70881313,Cereme,4,50,weak,0
52,4.0,67.0,944691.3172320636,Cereme,4,50,weak,0
53,5.0,0.0,0.0,Cereme,4,50,weak,0
54,0.0,2661399.0,,Cereme,4,50,strong,0
55,1.0,460.0,2279836.8420312633,Cereme,4,50,strong,0
56,2.0,456.0,4867416.985372232,Cereme,4,50,strong,0
57,3.0,0.0,0.0,Cereme,4,50,strong,0
58,4.0,0.0,0.0,Cereme,4,50,strong,0
59,5.0,0.0,0.0,Cereme,4,50,strong,0
60,0.0,2661125.0,,Cereme,4,90,weak,0
61,1.0,379.0,547627.5267606046,Cereme,4,90,weak,0
62,2.0,656.0,4115331.9056500094,Cereme,4,90,weak,0
63,3.0,155.0,1489750.3005854518,Cereme,4,90,weak,0
