,volcano,hazard,VEI,prob,mass,buffer,volume,pop_count,area_crops,area_urban,RNDS,buildingsLoss,month
0,Cereme,Tephra,3.0,10,,,,,,,6348210.7,0.39,0
1,Cereme,Tephra,3.0,10,1.0,,,2031602.0,744.0,318.0,,,0
2,Cereme,Tephra,3.0,10,5.0,,,529422.0,240.0,105.0,,,0
3,Cereme,Tephra,3.0,10,50.0,,,20197.0,17.0,9.0,,,0
4,Cereme,Tephra,3.0,10,100.0,,,3187.0,6.0,2.0,,,0
5,Cereme,Tephra,3.0,50,,,,,,,2036358.7,0.24,0
6,Cereme,Tephra,3.0,50,1.0,,,656042.0,338.0,116.0,,,0
7,Cereme,Tephra,3.0,50,5.0,,,115317.0,98.0,33.0,,,0
8,Cereme,Tephra,3.0,50,50.0,,,4247.0,9.0,3.0,,,0
9,Cereme,Tephra,3.0,50,100.0,,,1188.0,3.0,1.0,,,0
10,Cereme,Tephra,3.0,90,,,,,,,1028366.8,0.06,0
11,Cereme,Tephra,3.0,90,1.0,,,228394.0,159.0,52.0,,,0
12,Cereme,Tephra,3.0,90,5.0,,,23440.0,24.0,14.0,,,0
13,Cereme,Tephra,3.0,90,50.0,,,932.0,2.0,1.0,,,0
14,Cereme,Tephra,3.0,90,100.0,,,5.0,0.0,0.0,,,0
15,Cereme,Tephra,4.0,10,,,,,,,110331576.00000004,66.8,0
16,Cereme,Tephra,4.0,10,1.0,,,15498342.0,3968.0,1717.0,,,0
17,Cereme,Tephra,4.0,10,5.0,,,8236505.0,2256.0,1077.0,,,0
18,Cereme,Tephra,4.0,10,50.0,,,1374983.0,538.0,219.0,,,0
19,Cereme,Tephra,4.0,10,100.0,,,743178.0,333.0,132.0,,,0
20,Cereme,Tephra,4.0,50,,,,,,,59332762.7,23.15,0
21,Cereme,Tephra,4.0,50,1.0,,,9512582.0,2509.0,1167.0,,,0
22,Cereme,Tephra,4.0,50,5.0,,,3276395.0,1179.0,462.0,,,0
23,Cereme,Tephra,4.0,50,50.0,,,467559.0,271.0,87.0,,,0
24,Cereme,Tephra,4.0,50,100.0,,,229262.0,170.0,48.0,,,0
25,Cereme,Tephra,4.0,90,,,,,,,18250999.1,7.92,0
26,Cereme,Tephra,4.0,90,1.0,,,3434424.0,1202.0,446.0,,,0
27,Cereme,Tephra,4.0,90,5.0,,,1329238.0,534.0,175.0,,,0
28,Cereme,Tephra,4.0,90,50.0,,,187536.0,148.0,41.0,,,0
29,Cereme,Tephra,4.0,90,100.0,,,82845.0,77.0,22.0,,,0
30,Cereme,Tephra,5.0,10,,,,,,,985158074.6,5209.21,0
31,Cereme,Tephra,5.0,10,1.0,,,66208732.0,14517.0,6825.0,,,0
32,Cereme,Tephra,5.0,10,5.0,,,34582498.0,9543.0,3621.0,,,0
33,Cereme,Tephra,5.0,10,50.0,,,13782769.0,3090.0,1566.0,,,0
34,Cereme,Tephra,5.0,10,100.0,,,9533325.0,2107.0,1106.0,,,0
35,Cereme,Tephra,5.0,50,,,,,,,569081814.8999999,1412.72,0
36,Cereme,Tephra,5.0,50,1.0,,,55498319.0,11204.0,5578.0,,,0
37,Cereme,Tephra,5.0,50,5.0,,,22051852.0,5944.0,2274.0,,,0
