,volcano,hazard,VEI,prob,mass,buffer,volume,length_primary,length_unclassified,length_residential,length_service,length_living_street,length_tertiary,length_secondary,length_trunk,length_trunk_link,length_primary_link,length_tertiary_link,length_motorway,length_motorway_link,length_secondary_link,length_road,month,length_motorcycle_link
0,Cereme,Tephra,3.0,10,1.0,,,227.86,1204.14,5191.49,247.29,10.53,337.2,97.48,67.23,0.1,0.42,0.04,11.9,2.97,,,0,
1,Cereme,Tephra,3.0,10,100.0,,,,25.73,46.63,3.37,,,,,,,,,,,,0,
2,Cereme,Tephra,3.0,50,1.0,,,131.28,552.32,1834.39,92.54,3.15,172.66,47.64,,,0.01,,,,,,0,
3,Cereme,Tephra,3.0,50,100.0,,,,16.84,26.48,3.29,,,,,,,,,,,,0,
4,Cereme,Tephra,3.0,90,1.0,,,75.51,293.01,783.71,39.63,0.27,87.06,20.4,,,0.01,,,,,,0,
5,Cereme,Tephra,3.0,90,100.0,,,,,4.32,,,,,,,,,,,,,0,
6,Cereme,Tephra,4.0,10,1.0,,,792.1,8035.68,27075.97,2507.64,212.24,1974.43,818.62,598.64,6.88,8.76,1.83,387.83,86.04,1.67,,0,
7,Cereme,Tephra,4.0,10,100.0,,,160.25,558.89,2201.21,110.3,3.97,199.93,42.41,15.88,,0.01,,,,,,0,
8,Cereme,Tephra,4.0,50,1.0,,,588.49,4449.32,18160.08,1458.56,105.24,1179.18,519.6,329.43,4.18,6.13,0.79,197.63,39.91,1.07,,0,
9,Cereme,Tephra,4.0,50,100.0,,,70.64,293.12,814.53,39.59,0.21,89.98,3.34,,,0.01,,,,,,0,
10,Cereme,Tephra,4.0,90,1.0,,,226.37,1776.79,7332.3,398.99,7.43,475.48,220.86,178.31,1.23,0.3,0.23,45.58,7.41,0.01,,0,
11,Cereme,Tephra,4.0,90,100.0,,,43.08,152.38,315.89,17.93,,58.11,,,,,,,,,,0,
12,Cereme,Tephra,5.0,10,1.0,,,3538.1,27515.17,101095.28,14270.57,3018.66,9840.73,3518.25,2961.24,64.74,53.69,15.32,1506.38,517.17,19.25,4.08,0,
13,Cereme,Tephra,5.0,10,100.0,,,589.15,4066.05,18207.06,1511.98,140.21,1160.41,536.18,300.91,3.63,6.58,0.68,181.75,48.74,1.04,,0,
14,Cereme,Tephra,5.0,50,1.0,,,3398.3,24839.96,90149.64,13326.43,3034.24,7905.72,2956.73,2287.1,61.11,59.03,15.45,1384.49,498.35,18.51,2.38,0,
15,Cereme,Tephra,5.0,50,100.0,,,283.61,1913.78,8418.04,548.13,9.9,586.19,224.18,199.95,2.04,0.24,0.08,39.74,7.41,,,0,
16,Cereme,Tephra,5.0,90,1.0,,,1740.35,15415.84,47389.9,6183.15,332.92,4489.25,1499.58,1117.24,11.33,10.34,4.65,671.01,182.04,2.64,0.01,0,
