name,lat,lon,xmin,xmax,ymin,ymax,country,region
Cereme,-6.895,108.408,-230010.0,333757.0,9027388.0,9361840.0,Indonesia,Java
Dieng_Volcanic_Complex,-7.244,109.893,-52611.0,504551.0,8999326.0,9328460.0,Indonesia,Java
Galunggung,-7.255,108.076,-249554.0,294694.0,8992092.0,9319470.0,Indonesia,Java
Gede-Pangrango,-6.788,106.982,279987.0,836851.0,9040076.0,9374713.0,Indonesia,Java
Guntur,-7.155,107.851,390172.0,934292.0,9003730.0,9331717.0,Indonesia,Java
Kelut,-7.938,112.305,219147.0,769332.0,8924846.0,9245163.0,Indonesia,Java
Lokon-Empung,1.364,124.799,279983.0,790120.0,-39973.0,290809.0,Indonesia,Sulawesi
Mayon,13.256,123.686,74207.0,706848.0,1294904.0,1660487.0,Philippines,The Philippines
Merapi,-7.541,110.446,-5758.0,562677.0,8956625.0,9286933.0,Indonesia,Java
Taal,14.011,120.998,-159429.0,426930.0,1387635.0,1731419.0,Philippines,The Philippines
Papandayan,-7.319,107.731,368631.0,923418.0,8981741.0,9312725.0,Indonesia,Java
Agung,-8.343,115.507,-108529.0,475539.0,8874654.0,9201182.0,Indonesia,Lesser Sunda
Bulusan,12.768,124.054,134725.0,721573.0,1242902.0,1599936.0,Philippines,The Philippines
Gamalama,0.81,127.332,-103789.0,409448.0,-103146.0,228258.0,Indonesia,Maluku/Halmahera
Lamongan,-7.981,113.341,337240.0,881773.0,8921240.0,9240503.0,Indonesia,Java
Pinatubo,15.142,120.351,-266119.0,436200.0,1512500.0,1871577.0,Philippines,The Philippines
Ranakah,-8.634,120.533,-203026.0,366590.0,8857279.0,9177781.0,Indonesia,Lesser Sunda
Rinjani,-8.411,116.423,-30814.0,586228.0,8865300.0,9194277.0,Indonesia,Lesser Sunda
Semeru,-8.113,112.925,243006.0,840053.0,8892695.0,9227646.0,Indonesia,Java
Sinabung,3.171,98.392,-33757.0,532061.0,152908.0,510604.0,Indonesia,Sumatera
Soputan,1.115,124.737,271802.0,785224.0,-69561.0,263788.0,Indonesia,Sulawesi
Tengger_Caldera,-7.943,112.953,279677.0,838739.0,8919218.0,9244770.0,Indonesia,Java
Camiguin,9.204,124.671,199886.0,746804.0,843841.0,1187947.0,Philippines,The Philippines
Iya,-8.897,121.636,-44643.0,483959.0,8837295.0,9146299.0,Indonesia,Lesser Sunda
Parker,6.102,124.889,242403.0,770619.0,494143.0,831373.0,Philippines,The Philippines
Raung,-8.119,114.057,-274107.0,311532.0,8895968.0,9226592.0,Indonesia,Java
Tangkoko-Duasudara,1.518,125.185,325868.0,831871.0,-20008.0,307592.0,Indonesia,Sulawesi
Awu,3.682,125.454,330437.0,842942.0,222070.0,552890.0,Indonesia,Sulawesi
Banda_Api,-4.523,129.88,224830.0,716670.0,9323268.0,9638384.0,Indonesia,Maluku/Halmahera
Dukono,1.699,127.878,-40131.0,465843.0,510.0,328394.0,Indonesia,Maluku/Halmahera
Gamkonora,1.379,127.532,-85629.0,426297.0,-36934.0,293334.0,Indonesia,Maluku/Halmahera
Iliwerung,-8.52,123.564,161076.0,691162.0,8878937.0,9192307.0,Indonesia,Lesser Sunda
Karangetang,2.781,125.407,330002.0,847212.0,117260.0,453417.0,Indonesia,Sulawesi
Krakatau,-6.103,105.424,174768.0,661805.0,9130735.0,9447935.0,Indonesia,Java
Leroboleng,-8.365,122.833,78817.0,608259.0,8895586.0,9208964.0,Indonesia,Lesser Sunda
Lewotobi,-8.538,122.768,62827.0,610585.0,8872998.0,9189606.0,Indonesia,Lesser Sunda
Lewotolo,-8.274,123.508,145645.0,683446.0,8905880.0,9221528.0,Indonesia,Lesser Sunda
Paluweh,-8.333,121.707,-40793.0,484081.0,8900600.0,9212624.0,Indonesia,Lesser Sunda
Suoh,-5.236,104.259,35841.0,532984.0,9214571.0,9542231.0,Indonesia,Sumatera
Tambora,-8.248,117.993,163326.0,748698.0,8891326.0,9213702.0,Indonesia,Lesser Sunda
