,volcano,hazard,VEI,prob,mass,buffer,volume,pop_count,area_crops,area_urban
0,Cereme,Tephra,3.0,10.0,1.0,,,372241.9638000001,233.3529,73.0134
0,Cereme,Tephra,3.0,10.0,5.0,,,58707.18,51.8967,22.9068
0,Cereme,Tephra,3.0,10.0,50.0,,,2783.3301,6.0426,2.0007
0,Cereme,Tephra,3.0,10.0,100.0,,,590.4252000000001,0.8586,0.7938
0,Cereme,Tephra,3.0,50.0,1.0,,,246682.27620000002,170.5374,54.7722
0,Cereme,Tephra,3.0,50.0,5.0,,,27668.449800000002,27.4104,15.2037
0,Cereme,Tephra,3.0,50.0,50.0,,,1086.1614,2.9646,1.0692
0,Cereme,Tephra,3.0,50.0,100.0,,,24.664500000000004,0.081,0.0
0,Cereme,Tephra,3.0,90.0,1.0,,,159842.7999,128.6118,42.5169
0,Cereme,Tephra,3.0,90.0,5.0,,,15848.994600000002,20.9304,10.8054
0,Cereme,Tephra,3.0,90.0,50.0,,,589.5828,1.0854,0.8505
0,Cereme,Tephra,3.0,90.0,100.0,,,0.0,0.0,0.0
0,Cereme,Tephra,4.0,10.0,1.0,,,5650198.958699998,1743.9381,735.1884
0,Cereme,Tephra,4.0,10.0,5.0,,,1959716.5920000002,767.8476,270.5643
0,Cereme,Tephra,4.0,10.0,50.0,,,294411.834,199.2033,58.077
0,Cereme,Tephra,4.0,10.0,100.0,,,145923.93,123.7275,31.428
0,Cereme,Tephra,4.0,50.0,1.0,,,3471282.5886000013,1207.6695,449.5257
0,Cereme,Tephra,4.0,50.0,5.0,,,1332826.9011000001,534.5919,174.7251
0,Cereme,Tephra,4.0,50.0,50.0,,,186724.78830000001,148.2786,40.5324
0,Cereme,Tephra,4.0,50.0,100.0,,,83041.1109,77.5818,22.0968
0,Cereme,Tephra,4.0,90.0,1.0,,,2319014.7638999997,929.3697,318.5649
0,Cereme,Tephra,4.0,90.0,5.0,,,944209.0539,417.1176,129.0816
0,Cereme,Tephra,4.0,90.0,50.0,,,128994.10380000001,111.2697,30.1806
0,Cereme,Tephra,4.0,90.0,100.0,,,57701.240999999995,53.4357,18.2169
0,Cereme,Tephra,5.0,10.0,1.0,,,37765308.67469999,9083.9151,4220.991
0,Cereme,Tephra,5.0,10.0,5.0,,,16631901.736200007,4404.1158,1788.8526
0,Cereme,Tephra,5.0,10.0,50.0,,,4318603.281899999,1249.2549,527.3991
0,Cereme,Tephra,5.0,10.0,100.0,,,2092928.5359,765.9441,273.1968
0,Cereme,Tephra,5.0,50.0,1.0,,,25328520.463500023,6632.8227,2783.5812
0,Cereme,Tephra,5.0,50.0,5.0,,,12872044.991699997,2876.2452,1359.261
0,Cereme,Tephra,5.0,50.0,50.0,,,2319719.1560999993,858.2274,304.2198
0,Cereme,Tephra,5.0,50.0,100.0,,,1104358.7385000002,498.4821,151.4538
0,Cereme,Tephra,5.0,90.0,1.0,,,19622007.858599987,5278.8753,2065.9212
0,Cereme,Tephra,5.0,90.0,5.0,,,10965747.551399995,2235.7377,1174.6539
0,Cereme,Tephra,5.0,90.0,50.0,,,1607365.7252999998,662.2803,208.2267
0,Cereme,Tephra,5.0,90.0,100.0,,,779939.7012,364.8321,111.4155
0,Cereme,BAF,,10.0,,300,9800000,5.184,0.0,0.0
0,Cereme,BAF,,50.0,,300,9800000,0.0,0.0,0.0
0,Cereme,BAF,,90.0,,300,9800000,0.0,0.0,0.0
0,Cereme,BAF,,10.0,,990,9800000,256.689,0.0891,0.1863
0,Cereme,BAF,,50.0,,990,9800000,0.0,0.0,0.0
0,Cereme,BAF,,90.0,,990,9800000,0.0,0.0,0.0
0,Cereme,BAF,,10.0,,300,450000,0.0,0.0,0.0
0,Cereme,BAF,,50.0,,300,450000,0.0,0.0,0.0
0,Cereme,BAF,,90.0,,300,450000,0.0,0.0,0.0
0,Cereme,BAF,,10.0,,990,450000,0.0,0.0,0.0
0,Cereme,BAF,,50.0,,990,450000,0.0,0.0,0.0
0,Cereme,BAF,,90.0,,990,450000,0.0,0.0,0.0
0,Cereme,PDC,3,10.0,,,,2933111.3391,887.0391,422.0748
0,Cereme,PDC,3,50.0,,,,496490.9174999999,166.8762,125.9307
0,Cereme,PDC,3,90.0,,,,152904.8259,39.0663,34.2225
0,Cereme,PDC,4,10.0,,,,3799505.7747,1179.9999,486.6237
0,Cereme,PDC,4,50.0,,,,804023.6094000001,297.5373,185.3604
0,Cereme,PDC,4,90.0,,,,237893.87340000004,71.1828,58.968
0,Cereme,PDC,5,10.0,,,,5418872.038800004,1919.0844,635.769
0,Cereme,PDC,5,50.0,,,,1464638.2253999999,472.3272,276.0318
0,Cereme,PDC,5,90.0,,,,450929.33280000003,148.959,113.7645
0,Cereme,LC,3,10.0,,,,0.0,0.0,0.0
0,Cereme,LC,3,50.0,,,,0.0,0.0,0.0
0,Cereme,LC,3,90.0,,,,0.0,0.0,0.0
0,Cereme,LC,4,10.0,,,,540.1161,0.972,0.8343
0,Cereme,LC,4,50.0,,,,69.2955,0.081,0.0
0,Cereme,LC,4,90.0,,,,0.0,0.0405,0.0
0,Cereme,LC,5,10.0,,,,205721.9532,62.3214,52.6905
0,Cereme,LC,5,50.0,,,,172096.6581,48.8835,43.1973
0,Cereme,LC,5,90.0,,,,123955.4421,37.1142,32.3028
