name,lat,lon,xmin,xmax,ymin,ymax,country,
Cereme,-6.895376,108.4081045,-230009.5266,333756.8214,9027387.533,9361840.379,Indonesia,1
Dieng_Volcanic_Complex,-7.24406,109.89295,-52611.47498,504550.963,8999326.181,9328459.872,Indonesia,2
Galunggung,-7.255351,108.0758863,-249553.7606,294693.917,8992091.906,9319470.36,Indonesia,3
Gede-Pangrango,-6.7880149,106.9817248,279987.2066,836851.1001,9040075.957,9374713.236,Indonesia,4
Guntur,-7.1550729,107.8513373,390172.2912,934292.2168,9003730.095,9331716.709,Indonesia,5
Kelut,-7.9382499,112.3048939,219147.4905,769332.3437,8924845.855,9245163.206,Indonesia,6
Lokon-Empung,1.3641012,124.7991414,279983.1148,790120.299,-39973.11598,290808.5645,Indonesia,7
Mayon,13.2557204,123.6861074,74206.74788,706847.7291,1294904.115,1660486.917,Philippines and SE Asia,8
Merapi,-7.5411077,110.4460427,-5758.114734,562677.3024,8956624.628,9286933.309,Indonesia,9
Taal,14.0107554,120.9979889,368631.0876,923417.5921,8981741.073,9312724.746,Philippines and SE Asia,10
Papandayan,-7.3190669,107.7312224,-159428.7971,426930.2042,1387635.101,1731419.092,Indonesia,11
Agung,-8.3429491,115.5068941,-108529.0312,475539.4813,8874654.291,9201181.781,Indonesia,12
Bulusan,12.7684107,124.0541017,134724.9177,721572.7544,1242901.749,1599936.423,Philippines and SE Asia,13
Gamalama,0.8100136,127.3324283,-103788.9708,409448.4582,-103146.2935,228258.3237,Indonesia,14
Lamongan,-7.9808392,113.3409122,337240.099,881773.2777,8921240.356,9240502.933,Indonesia,15
Pinatubo,15.1419741,120.3511937,-266119.2927,436200.3818,1512500.387,1871577.212,Philippines and SE Asia,16
Ranakah,-8.6336154,120.5327372,-203025.6141,366589.7331,8857279.071,9177781.467,Indonesia,17
Rinjani,-8.411483,116.4228697,-30814.03369,586227.9427,8865300.174,9194276.67,Indonesia,18
Semeru,-8.1125347,112.9247207,243005.7666,840052.9708,8892695.347,9227646.289,Indonesia,19
Sinabung,3.1708703,98.3919002,-33756.83948,532061.2173,152908.0273,510604.2928,Indonesia,20
Soputan,1.1151584,124.7371385,271801.5825,785224.0282,-69560.56825,263787.9495,Indonesia,21
Tengger_Caldera,-7.9425823,112.9530608,279677.2124,838738.8288,8919218.125,9244770.244,Indonesia,22
Camiguin,9.204162,124.6711076,199886.1843,746804.3579,843841.3786,1187946.915,Philippines and SE Asia,23
Iya,-8.8966496,121.6357483,-44643.29087,483959,8837294.744,9146299.042,Indonesia,24
Parker,6.1017347,124.889346,242402.9302,770619.3089,494142.5746,831373.2832,Philippines and SE Asia,25
Raung,-8.1185123,114.0572912,-274107.0701,311532.3741,8895967.853,9226592.47,Indonesia,26
Tangkoko-Duasudara,1.5184252,125.1845504,325868.0377,831870.996,-20008.1468,307591.98,Indonesia,27
Awu,3.6824694,125.4537549,330437.4253,842941.8083,222070.1986,552890.3961,Indonesia,28
Banda_Api,-4.5225773,129.8803264,224830.3523,716670.4774,9323267.997,9638383.915,Indonesia,29
Dukono,1.6993084,127.8784586,-40130.57546,465842.5365,510.1416471,328394.0793,Indonesia,30
Gamkonora,1.3787093,127.5318643,-85629.27739,426297.2901,-36934.36237,293334.3446,Indonesia,31
Iliwerung,-8.5197823,123.5637648,161075.7339,691161.9067,8878937.283,9192306.974,Indonesia,32
Karangetang,2.781,125.407,330002.4031,847212.2631,117259.6721,453416.6089,Indonesia,33
Krakatau,-6.1025743,105.4235484,174768.1451,661804.7459,9130734.818,9447934.596,Indonesia,34
Leroboleng,-8.364762,122.8326647,78817.18519,608259.4231,8895585.503,9208963.828,Indonesia,35
Lewotobi,-8.5375783,122.7677185,62827.12818,610585.0937,8872997.899,9189606.237,Indonesia,36
Lewotolo,-8.2740375,123.5076443,145644.5009,683445.7023,8905879.98,9221528.104,Indonesia,37
Paluweh,-8.3326199,121.7065341,-40792.50078,484081.4378,8900599.56,9212624.477,Indonesia,38
Suoh,-5.2363965,104.2591327,35840.89633,532983.9645,9214570.813,9542231.165,Indonesia,39
Tambora,-8.2480153,117.9926379,163326.0794,748697.5422,8891325.918,9213701.841,Indonesia,40
